idActor,nombreActor,tipoPersonaA,idDirector,nombreDirector,tipoPersonaD
1,Sam Worthington,ACTOR,1,James Cameron,DIRECTOR
2,Johnny Depp,ACTOR,2,Gore Verbinski,DIRECTOR
3,Daniel Craig,ACTOR,3,Sam Mendes,DIRECTOR
4,Christian Bale,ACTOR,4,Christopher Nolan,DIRECTOR
5,Taylor Kitsch,ACTOR,5,Andrew Stanton,DIRECTOR
6,Tobey Maguire,ACTOR,6,Sam Raimi,DIRECTOR
7,null (animation movie),ACTOR,7,Nathan Greno,DIRECTOR
8,Robert Downey Jr.,ACTOR,8,Joss Whedon,DIRECTOR
9,Daniel Radclife,ACTOR,9,David Yates,DIRECTOR
10,Ben Affleck,ACTOR,10,Zack Snyder,DIRECTOR
11,Brandon Routh,ACTOR,11,Marc Forster,DIRECTOR
12,Daniel Craig,ACTOR,12,Bryan Singer,DIRECTOR
13,Johnny Depp,ACTOR,13,Gore Verbinski,DIRECTOR
14,Johnny Depp,ACTOR,14,Gore Verbinski,DIRECTOR
15,Henry Cavill,ACTOR,15,Zack Snyder,DIRECTOR
16,Ben Barnes,ACTOR,16,Andrew Adamson,DIRECTOR
17,Robert Downey Jr.,ACTOR,17,Joss Whedon,DIRECTOR
18,Johnny Depp,ACTOR,18,Rob Marshall,DIRECTOR
19,Will Smith,ACTOR,19,Barry Sonnenfeld,DIRECTOR
20,Martin Freeman,ACTOR,20,Peter Jackson,DIRECTOR
21,Andrew Garfield,ACTOR,21,Marc Webb,DIRECTOR
22,Russel Crowe,ACTOR,22,Ridley Scott,DIRECTOR
23,Martin Freeman,ACTOR,23,Peter Jackson,DIRECTOR
24,Dakota Blue Richards,ACTOR,24,Chris Weitz,DIRECTOR
25,Naomi Watts,ACTOR,25,Peter Jackson,DIRECTOR
26,Leonardo DiCaprio,ACTOR,26,James Cameron,DIRECTOR
27,Chris Evans,ACTOR,27,Anthony Russo,DIRECTOR
28,Liam Neeson,ACTOR,28,Peter Berg,DIRECTOR
29,Chris Patt,ACTOR,29,Colin Trevorrow,DIRECTOR
30,Daniel Craig,ACTOR,30,Sam Mendes,DIRECTOR
31,Tobey Maguire,ACTOR,31,Sam Raimi,DIRECTOR
32,Robert Downey Jr.,ACTOR,32,Shane Black,DIRECTOR
33,Johnny Depp,ACTOR,33,Tim Burton,DIRECTOR
34,Hugh Jackman,ACTOR,34,Brett Ratner,DIRECTOR
35,null (animation movie),ACTOR,35,Dan Scanlon,DIRECTOR
36,Shia LaBeouf,ACTOR,36,Michael Bay,DIRECTOR
37,Mark Wahlberg,ACTOR,37,Michael Bay,DIRECTOR
38,James Franco,ACTOR,38,Sam Raimi,DIRECTOR
39,Andrew Garfield,ACTOR,39,Marc Webb,DIRECTOR
40,Garrett Hedlund,ACTOR,40,Joseph Kosinski,DIRECTOR
41,null (animation movie),ACTOR,41,John Lasseter,DIRECTOR
42,Ryan Reinolds,ACTOR,42,Martin Campbell,DIRECTOR
43,null (animation movie),ACTOR,43,Lee Unkrich,DIRECTOR
44,Christian Bale,ACTOR,44,Joseph McGinty Nichol,DIRECTOR
45,Vin Diesel,ACTOR,45,James Wan,DIRECTOR
46,Brad Pitt,ACTOR,46,Marc Forster,DIRECTOR
47,Hugh Jackman,ACTOR,47,Bryan Singer,DIRECTOR
48,Chris Pine,ACTOR,48,J.J Abrams,DIRECTOR
49,Nicholas Hoult,ACTOR,49,Bryan Singer,DIRECTOR
50,Leonardo DiCaprio,ACTOR,50,Baz Luhrmann,DIRECTOR
51,Jake Gyllenhaal,ACTOR,51,Mike Newell,DIRECTOR
52,Charlie Hunnam,ACTOR,52,Guillermo del Toro,DIRECTOR
53,Shia LaBeouf,ACTOR,53,Michael Bay,DIRECTOR
